Country,X,Y,Pop,GridDistCurrent,GridDistPlan,RoadDist,NightLights,TravelHours,GHI,WindVel,Hydropower,HydropowerDist,SubstationDist,LandCover,Elevation,Slope,SolarRestriction
Swaziland,3505.486328,-3142.875977,60.88924026,41.24362183,41.24362183,3.132650375,6,4,1935,6,2910.889893,15.68100452,35.38062668,8,849,16.7873764,0
Swaziland,3506.486328,-3142.875977,74.03046417,41.94829941,41.94829941,3.275429964,6,4,1935,6,2910.889893,16.19316864,36.38048172,8,796,10.77373791,0
Swaziland,3507.486328,-3142.875977,62.0561409,42.66477966,42.66477966,3.629757166,6,4,1918,6,2910.889893,16.74943352,37.38034821,9,764,3.729255438,0
Swaziland,3508.486328,-3142.875977,60.84288788,43.39247513,43.39247513,4.106870651,0,4,1918,6,2910.889893,17.34555626,38.38021851,14,672,13.23016357,0
Swaziland,3509.486328,-3142.875977,41.22894287,44.13083267,44.13083267,4.596497059,0,5,1918,6,2910.889893,17.97757339,39.38009644,9,513,7.870493412,0
Swaziland,3510.486328,-3142.875977,76.72612762,44.87932587,44.87932587,5.205525398,0,5,1900,6,2910.889893,18.64183426,40.37998199,8,641,17.02684593,1
Swaziland,3511.486328,-3142.875977,52.14084244,45.63745499,45.63745499,5.878032684,5,5,1900,5,2910.889893,19.33501434,41.37987137,8,556,7.985128403,1
Swaziland,3512.486328,-3142.875977,48.41243744,46.40475082,46.40475082,6.55058527,5,6,1900,5,2910.889893,20.0541172,42.37976456,14,500,5.754873753,1
Swaziland,3513.486328,-3142.875977,36.53178787,47.18076324,47.18076324,7.223137856,5,6,1900,5,2910.889893,20.79645157,43.37966537,9,443,10.60475349,1
Swaziland,3514.486328,-3142.875977,23.34858131,47.96506882,47.96506882,7.895689964,5,7,1892,5,2910.889893,21.5596199,44.37957001,14,499,9.219229698,0
Swaziland,3515.486328,-3142.875977,34.64152527,48.757267,48.757267,8.568243027,5,8,1892,5,2910.889893,22.34148788,45.37947845,14,371,4.757120609,1
Swaziland,3516.486328,-3142.875977,21.25465393,49.55698395,49.55698395,8.855729103,5,8,1892,5,2910.889893,23.1401577,46.37939072,9,311,2.177409649,0
Swaziland,3517.486328,-3142.875977,21.34384918,50.36385727,50.36385727,8.642490387,5,8,1892,5,2910.889893,23.95394897,47.37930679,8,289,2.438126087,0
Swaziland,3518.486328,-3142.875977,0.173414797,51.17755127,51.17755127,8.510767937,0,7,1892,5,2910.889893,24.78137398,48.37922668,8,279,1.040621758,0
Swaziland,3519.486328,-3142.875977,0.173414797,51.9977417,51.27571869,7.6173172,5,7,1892,5,2910.889893,25.62111092,49.37915039,8,295,1.523645997,1
Swaziland,3520.486328,-3142.875977,0.173414797,52.82413101,50.92663574,6.73187542,5,6,1892,5,2910.889893,26.47198868,49.87868881,8,295,0.8518821,0
Swaziland,3521.486328,-3142.875977,0.173414797,53.65642548,50.57755661,5.882618427,5,6,1892,5,2910.889893,27.33296394,49.07495499,8,314,2.389669657,0
Swaziland,3522.486328,-3142.875977,0.173414797,54.49436188,50.22847366,5.088443279,5,5,1900,5,2910.889893,28.20311546,48.27855682,9,313,1.002378583,1
Swaziland,3523.486328,-3142.875977,0.170153543,55.33768082,49.87939072,4.379418373,5,5,1900,5,2910.889893,29.08161926,47.48985672,9,313,1.9043051,1
Swaziland,3524.486328,-3142.875977,0.162544027,56.17628098,49.53031158,3.782497644,0,5,1900,5,2910.889893,29.96773911,46.7092514,8,318,1.162218928,1
Swaziland,3525.486328,-3142.875977,0.169066474,55.49602127,49.18122864,3.272829533,0,4,1900,5,2910.889893,30.86082077,45.93714905,8,314,1.276613355,1
Swaziland,3526.486328,-3142.875977,0.608717203,54.8062706,48.83214951,3.015126705,0,4,1900,5,2910.889893,31.76027489,45.17398834,9,308,0.908937931,1
Swaziland,3527.486328,-3142.875977,0.161456972,54.12620163,48.48306656,3.077428579,0,4,1900,5,2910.889893,32.66557693,44.42022705,8,283,2.980519533,1
Swaziland,3528.486328,-3142.875977,0.15855813,53.45619202,48.13398361,3.382477283,0,4,1900,5,2910.889893,33.57625198,43.67635727,8,261,1.181267619,1
Swaziland,3529.486328,-3142.875977,0.201910034,52.79661942,47.78490448,3.631304741,0,4,1900,6,2910.889893,34.49187469,42.94289017,9,230,1.204654455,0
Swaziland,3530.486328,-3142.875977,56.3652916,52.14788437,47.43582153,3.416413784,0,4,1900,6,2910.889893,35.4120636,42.22036743,9,218,2.083234549,0
Swaziland,3531.486328,-3142.875977,97.59672546,51.51039124,47.08673859,3.200725079,0,4,1900,6,2910.889893,36.33647156,41.50935745,14,226,0.761957705,0
Swaziland,3532.486328,-3142.875977,46.24794006,50.88456726,46.73765945,3.105718613,0,4,1900,6,2910.889893,37.26478195,40.81047058,8,206,2.543217182,1
Swaziland,3533.486328,-3142.875977,45.1226387,50.27084351,46.38857651,3.251902342,0,5,1883,6,2910.889893,38.19671249,40.12433243,9,249,4.072075844,1
Swaziland,3534.486328,-3142.875977,45.1226387,49.66967392,46.03949356,3.324618578,0,5,1883,6,2910.889893,39.13199997,39.45161057,8,325,15.405159,1
Swaziland,3535.486328,-3142.875977,48.04084015,49.08151627,45.69041443,3.339803457,0,5,1883,6,2910.889893,40.07041931,38.79300308,8,573,19.74982262,1
Swaziland,3536.486328,-3142.875977,44.5569191,48.50684357,45.34133148,3.460405827,0,5,1883,6,5291.879883,40.80117035,38.1492424,8,326,11.10948372,1
Swaziland,3537.486328,-3142.875977,40.97494888,47.94614029,44.99224854,3.840189695,0,5,1874,6,5291.879883,39.86936951,37.52109146,9,281,10.29407692,1
Swaziland,3538.486328,-3142.875977,40.66275787,47.39990616,44.6431694,4.250237942,0,5,1874,6,5291.879883,38.9409523,36.90934372,9,304,6.709759712,1
Swaziland,3539.486328,-3142.875977,43.11457825,46.86864471,44.29408646,4.333670139,0,5,1874,6,5291.879883,38.01616669,36.31483459,8,357,12.99526501,1
Swaziland,3540.486328,-3142.875977,58.54907227,46.35287094,43.94500351,4.636081219,0,5,1874,6,5291.879883,37.09528351,35.73842239,8,369,12.60662174,1
Swaziland,3541.486328,-3142.875977,59.64461136,45.85310364,43.59592438,4.978595734,0,5,1874,6,5291.879883,36.17860031,35.18099594,9,344,6.266519547,0
Swaziland,3542.486328,-3142.875977,56.36601639,45.36987686,43.24684143,4.379891872,0,5,1874,6,5291.879883,35.26644897,34.64347076,9,251,2.556320667,0
Swaziland,3543.486328,-3142.875977,13.45114803,44.90372467,42.89775848,3.781188011,0,5,1874,6,5291.879883,34.35918427,34.12678528,8,229,1.276613355,0
Swaziland,3544.486328,-3142.875977,8.330324173,44.45518112,42.54867935,3.18248415,0,4,1874,6,5291.879883,33.45720673,33.6319046,8,211,1.352994442,0
Swaziland,3545.486328,-3142.875977,7.93867588,44.0247879,42.19959641,2.583780289,5,4,1874,6,5291.879883,32.56095505,33.1598053,8,208,1.947721839,1
Swaziland,3546.486328,-3142.875977,8.304214478,43.61307907,41.85051727,1.985076308,7,3,1874,6,5291.879883,31.6709156,32.71146774,8,187,1.28965807,1
