,2020,2030
1.Population_Grid,10873419.386803921,12040181.937042283
1.Population_MG_Hydro1,0.0,0.0
1.Population_MG_Hydro2,14700.875516196937,16612.361765558475
1.Population_MG_Wind1,329.55628010769254,0.0
1.Population_MG_Wind2,0.0,0.0
1.Population_MG_PV1,0.0,0.0
1.Population_MG_PV2,0.0,0.0
1.Population_SA_PV1,400017.79516723735,131797.52736547653
1.Population_SA_PV2,730.582596953845,3820.981998784616
1.Population_MG_Diesel1,492.34914141538417,0.0
1.Population_MG_Diesel2,0.0,0.0
1.Population_SA_Diesel1,0.0,0.0
1.Population_SA_Diesel2,356391.35833779996,889316.0640977832
2.New_Connections_Grid,2508713.531102265,1165940.6448167344
2.New_Connections_MG_Hydro1,0.0,0.0
2.New_Connections_MG_Hydro2,4414.586983146937,1911.4862493615403
2.New_Connections_MG_Wind1,319.16547873369257,0.0
2.New_Connections_MG_Wind2,0.0,0.0
2.New_Connections_MG_PV1,0.0,0.0
2.New_Connections_MG_PV2,0.0,0.0
2.New_Connections_SA_PV1,313357.3197380889,118454.46479130704
2.New_Connections_SA_PV2,174.629546133845,366.59689376923143
2.New_Connections_MG_Diesel1,467.9394461543842,0.0
2.New_Connections_MG_Diesel2,0.0,0.0
2.New_Connections_SA_Diesel1,0.0,0.0
2.New_Connections_SA_Diesel2,219749.54344482892,148959.87493735057
3.Capacity_Grid,204202.3369525752,117212.51928818687
3.Capacity_MG_Hydro1,0.0,0.0
3.Capacity_MG_Hydro2,172.17616799207877,80.07368634934491
3.Capacity_MG_Wind1,30.202994797678063,0.0
3.Capacity_MG_Wind2,0.0,0.0
3.Capacity_MG_PV1,0.0,0.0
3.Capacity_MG_PV2,0.0,0.0
3.Capacity_SA_PV1,22769.890199777998,8563.479209823397
3.Capacity_SA_PV2,11.201942468465617,25.281899372004457
3.Capacity_MG_Diesel1,27.68207804420122,0.0
3.Capacity_MG_Diesel2,0.0,0.0
3.Capacity_SA_Diesel1,0.0,0.0
3.Capacity_SA_Diesel2,6294.1595727453705,4427.380106057222
4.Investment_Grid,846532512.7115273,136231125.2591667
4.Investment_MG_Hydro1,0.0,0.0
4.Investment_MG_Hydro2,1239002.0893283295,205691.97088117694
4.Investment_MG_Wind1,186995.93758444744,0.0
4.Investment_MG_Wind2,0.0,0.0
4.Investment_MG_PV1,0.0,0.0
4.Investment_MG_PV2,0.0,0.0
4.Investment_SA_PV1,123171250.3568173,18364608.536213037
4.Investment_SA_PV2,119412.7067138435,128365.16345514636
4.Investment_MG_Diesel1,161914.11353509844,0.0
4.Investment_MG_Diesel2,0.0,0.0
4.Investment_SA_Diesel1,0.0,0.0
4.Investment_SA_Diesel2,7552991.487294461,2145773.482471249
