NTLBin,NTLArea,ElecPop,X_deg,Y_deg,GridCellArea,ID,Pop,Elevation,LandCover,NightLights,Slope,GHI,TravelHours,WindVel,SubstationDist,RoadDist,CurrentMVLineDist,PlannedMVLineDist,Hydropower,HydropowerFID,HydropowerDist,X,Y,CurrentHVLineDist,PlannedHVLineDist,ResidentialDemandTierCustom,TransformerDist,IsUrban,PerCapitaDemand,HealthDemand,EducationDemand,AgriDemand,ElectrificationOrder,Conflict,CommercialDemand,Country,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartYear,ElecPopCalib,Pop2025High,Pop2025Low,Pop2030High,Pop2030Low,Pop2018,ElecStart,GridDistCalibElec,Elec_Initial_Status_Grid2018,Elec_Init_Status_Offgrid2018,Actual_Elec_Status_2018,FinalElecCode2018,GridReachYear,MVConnectDist,Pop2025,NewConnections2025,NumPeoplePerHH,Tier,EnergyPerSettlement2025,TotalEnergyPerCell,MG_Hydro2025,MG_PV2025,MG_Wind2025,MG_Diesel2025,SA_Diesel2025,SA_PV2025,Minimum_Tech_Off_grid2025,Minimum_LCOE_Off_grid2025,Off_Grid_Code2025,Elec_Initial_Status_Grid2025,Elec_Init_Status_Offgrid2025,Actual_Elec_Status_2025,Grid2025,new_connections_household,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,MinimumOverallCode2025,InvestmentCost2025,ElecStatusIn2025,InvestmentCapita2025,GridElecIn2025,OffGridElecIn2025,FinalElecCode2025,NewCapacity2025,Pop2030,NewConnections2030,EnergyPerSettlement2030,MG_Hydro2030,MG_PV2030,MG_Wind2030,MG_Diesel2030,SA_Diesel2030,SA_PV2030,Minimum_Tech_Off_grid2030,Minimum_LCOE_Off_grid2030,Off_Grid_Code2030,Elec_Initial_Status_Grid2030,Elec_Init_Status_Offgrid2030,Actual_Elec_Status_2030,Grid2030,MinGridDist2030,ElectrificationOrder2030,MinimumOverall2030,MinimumOverallLCOE2030,MinimumOverallCode2030,InvestmentCost2030,ElecStatusIn2030,InvestmentCapita2030,GridElecIn2030,OffGridElecIn2030,FinalElecCode2030,NewCapacity2030
0,0.09649,0,35.10056,-17.12645,0.022,mw-160297,13.33949,432,9,0,1.974,1959,2.78333,4.21661,103.86575,13.29386,3.79242,3.79242,110,1579,21.73343,3420695.2,-2105483.2,28.36919,28.36926,8,4.43463,0,8.795455,0,0,0,0,0,0,Malawi,8.795455,49.772728,182.5,481.13635,680.2273,3,1,5,5,5,3.9,1.1076348,0.040405504,14.444955,0,19.0787,17.785892,23.273289,20.63565,14.444955,0,4.43463,0,0,0,99,2018,0,17.785892,17.785892,4.3,1,156.43501,181.49992,99,5.300399,99,99,99,0.6664295,SA_PV2025,0.6664295,3,0,0,0,99,4.7989883,0,0,SA_PV2025,0.6664295,3,779.0252,0,43.800175,0,0,99,0,20.63565,20.63565,181.49992,99,4.7110753,99,99,99,0.6767655,SA_PV2030,0.6767655,3,0,0,0,99,0,0,SA_PV2030,0.6767655,3,494.43423,1,23.960196,0,1,3,0.10294364
0,0.1444,0,35.13418,-17.12632,0.032,mw-160298,25.39999,203,9,0,4.59676,1956,2.65,4.18963,104.73386,9.78433,1.29057,1.29057,110,1579,18.16744,3423973.2,-2105467.2,26.34323,26.3433,8,2.15074,0,8.795455,0,0,0,0,0,0,Malawi,8.795455,49.772728,182.5,481.13635,680.2273,4,1,5,5,5,4.05,1.1236314,0.039331917,27.504929,0,36.328133,33.866474,44.315136,39.292755,27.504929,0,2.15074,0,0,0,99,2018,1.29057,33.866474,33.866474,4.3,1,297.87103,345.59763,99,3.4715292,99,99,99,0.6674517,SA_PV2025,0.6674517,3,0,0,0,0.001,1.2619255,1.450125,0,Grid2025,0.001,1,28167.344,1,831.7176,1,0,1,0.047227144,39.292755,5.4262795,47.726597,99,1.8395314,99,99,99,0.74265033,SA_PV2030,0.74265033,3,1,0,0,0.076,0,0,Grid2030,0.076,1,369.38495,1,68.07333,1,0,1,0.007567002
0.15317,0.15317,29.04378,35.21528,-17.12491,0.032,mw-160296,29.04378,45,14,0,0.56464,2027,1.98333,4.28746,102.40763,1.37288,0.10473,0.10473,110,1579,9.58194,3431892.2,-2105296.5,22.94773,22.94781,82.62963,1.23643,0,8.795455,0,0,0,0,0,0,Malawi,8.795455,49.772728,182.5,481.13635,680.2273,5,1,5,5,5,4.2,1.1418033,0.04329308,31.450684,0,41.539635,38.724834,50.672424,44.92955,31.450684,0,1.23643,0,0,0,99,2018,0.10473,38.724834,38.724834,4.3,1,340.60254,395.1758,99,3.1590922,99,99,99,0.6440727,SA_PV2025,0.6440727,3,0,0,0,0.001,1.4429568,0.11958105,0,Grid2025,0.001,1,19174.365,1,495.1439,1,0,1,0.054002177,44.92955,6.204714,54.57328,99,1.74834,99,99,99,0.7166374,SA_PV2030,0.7166374,3,1,0,0,0.076,0,0,Grid2030,0.076,1,402.44058,1,64.86046,1,0,1,0.008652537
0,0.10526,0,35.29515,-17.12353,0.022,mw-160295,34.40024,35,9,0,0.06378,2041,2.28333,4.15113,103.62698,6.93024,7.44747,7.44747,110,1579,1.67682,3439691.5,-2105128.8,22.53012,22.5302,8,7.27426,0,8.795455,0,0,0,0,0,0,Malawi,8.795455,49.772728,182.5,481.13635,680.2273,4,1,5,5,5,4.05,1.1236314,0.03782502,37.25104,0,49.200672,45.866745,60.01779,53.215775,37.25104,0,7.27426,0,0,0,99,2018,0,45.866745,45.866745,4.3,1,403.41885,468.05695,2.379924,2.6578333,99,99,99,0.6396548,SA_PV2025,0.6396548,3,0,0,0,99,12.375762,0,0,SA_PV2025,0.6396548,3,1928.2583,0,42.040443,0,0,99,0,53.215775,53.215775,468.05695,2.1042845,2.4084902,99,99,99,0.64957553,SA_PV2030,0.64957553,3,0,0,0,99,0,0,SA_PV2030,0.64957553,3,1223.8331,1,22.997562,0,1,3,0.25480807
0,0.04275,0,35.09183,-17.12252,0.043,mw-186519,33.34874,462,9,0,0.56305,1963,2.88333,4.21661,103.23215,14.18066,4.50586,4.50586,110,1579,22.63174,3419889,-2105006.2,28.60378,28.60384,8.25,4.44903,0,8.795455,0,0,0,0,0,0,Malawi,8.795455,49.772728,182.5,481.13635,680.2273,3,1,5,5,5,3.9,1.1076348,0.040405504,36.112404,0,47.69677,44.464752,58.18325,51.589146,36.112404,0,4.44903,0,0,0,99,2018,0,44.464752,44.464752,4.3,1,391.0877,453.75,99,3.0429816,99,99,99,0.66507155,SA_PV2025,0.66507155,3,0,0,0,99,11.997477,0,0,SA_PV2025,0.66507155,3,1943.5955,0,43.710926,0,0,99,0,51.589146,51.589146,453.75,99,2.7609305,99,99,99,0.6753865,SA_PV2030,0.6753865,3,0,0,0,99,0,0,SA_PV2030,0.6753865,3,1233.5674,1,23.911373,0,1,3,0.25683478
0,0.76805,0,35.10777,-17.12196,0.159,mw-188245,160.07394,404,9,0,4.17008,1956,2.25,4.11333,103.56239,12.48465,2.88702,2.88702,110,1579,20.93493,3421448.5,-2104937.8,27.51071,27.51077,8,3.75458,0,8.795455,0,0,0,0,0,0,Malawi,8.795455,49.772728,182.5,481.13635,680.2273,3,1,5,5,5,3.9,1.1076348,0.036374427,173.33952,0,228.94449,213.43079,279.27957,247.62788,173.33952,0,3.75458,0,0,0,99,2018,0,213.43079,213.43079,4.3,1,1877.2208,2177.9998,99,1.7787513,99,99,99,0.6674517,SA_PV2025,0.6674517,3,0,0,0,99,57.587883,0,0,SA_PV2025,0.6674517,3,9362.645,0,43.867355,0,0,99,0,247.62788,247.62788,2177.9998,99,1.6656059,99,99,99,0.6778035,SA_PV2030,0.6778035,3,0,0,0,99,0,0,SA_PV2030,0.6778035,3,5942.313,1,23.996944,0,1,3,1.2372187
0,0.05726,0,35.14223,-17.12187,0.012,mw-160292,5.08,179,9,0,1.87531,1961,2.18333,4.34787,101.42884,8.83107,0.66702,0.66702,110,1579,17.27419,3424808,-2104926.2,25.4835,25.48357,8,1.16331,0,8.795455,0,0,0,0,0,0,Malawi,8.795455,49.772728,182.5,481.13635,680.2273,4,1,5,5,5,4.05,1.1236314,0.045832347,5.5009875,0,7.26563,6.7732973,8.86303,7.858554,5.5009875,0,1.16331,0,0,0,99,2018,0.66702,6.7732973,6.7732973,4.3,1,59.57423,69.11955,99,11.232364,99,99,99,0.66574985,SA_PV2025,0.66574985,3,0,0,0,0.001,0.2523852,0.7494846,0,Grid2025,0.001,1,20545.428,1,3033.2979,1,0,1,0.009445433,7.858554,1.0852563,9.545323,99,2.3137746,99,99,99,0.74075675,SA_PV2030,0.74075675,3,1,0,0,0.076,0,0,Grid2030,0.076,1,93.7394,1,86.37536,1,0,1,0.001513401
0,0.05726,0,35.18306,-17.12187,0.012,mw-160293,2.58381,104,9,0,0.85113,1995,2.05,4.54267,101.71579,4.5617,0.56965,0.56965,110,1579,12.94251,3428787.5,-2104926.2,23.61123,23.6113,9,2.72513,0,8.795455,0,0,0,0,0,0,Malawi,8.795455,49.772728,182.5,481.13635,680.2273,5,1,5,5,5,4.2,1.1418033,0.05449091,2.7979345,0,3.6954737,3.4450617,4.5079503,3.9970493,2.7979345,0,2.72513,0,0,0,99,2018,0.56965,3.4450617,3.4450617,4.3,1,30.300884,35.155865,99,20.763428,99,99,99,0.65440375,SA_PV2025,0.65440375,3,0,0,0,0.001,0.12836918,0.6504282,0,Grid2025,0.001,1,19557.477,1,5676.9595,1,0,1,0.004804174,3.9970493,0.55198747,4.8549805,99,3.017998,99,99,99,0.7281323,SA_PV2030,0.7281323,3,1,0,0,0.076,0,0,Grid2030,0.076,1,62.742626,1,113.66676,1,0,1,0.000769752
0,0.05726,0,35.26473,-17.12187,0.012,mw-160294,42.71892,32,9,0,0.04892,2045,3.03333,3.9717,102.84224,3.71226,4.23023,4.23023,110,1579,4.36229,3436746.5,-2104926.2,22.06915,22.06923,8,4.05797,0,8.795455,0,0,0,0,0,0,Malawi,8.795455,49.772728,182.5,481.13635,680.2273,5,1,5,5,5,4.2,1.1418033,0.031197475,46.259106,0,61.098396,56.95826,74.53132,66.084435,46.259106,0,4.05797,0,0,0,99,2018,0,56.95826,56.95826,4.3,1,500.9738,581.2427,1.8873574,2.1279733,99,99,99,0.63840365,SA_PV2025,0.63840365,3,0,0,0,99,15.368473,0,0,SA_PV2025,0.63840365,3,2389.8667,0,41.958214,0,0,99,0,66.084435,66.084435,581.2427,1.6747231,1.9366786,99,99,99,0.64830494,SA_PV2030,0.64830494,3,0,0,0,99,0,0,SA_PV2030,0.64830494,3,1516.8082,1,22.95258,0,1,3,0.31580693
5,7,2470.3364,35.22318,-17.1211,1.429,mw-186516,3383.9656,35,9,0.88159,0.44416,2032,1.98333,3.96962,102.09337,0.41501,0.35404,0.35404,110,1579,8.68873,3432706.2,-2104832.5,22.36591,22.36599,82.62963,0.6694,0,8.795455,0,0,0,0,0,0,Malawi,8.795455,49.772728,182.5,481.13635,680.2273,5,1,5,5,5,4.2,1.1418033,0.031124514,3664.4001,702.7603,4839.89,4511.93,5903.9746,5234.8574,3664.4001,1,0.6694,1,0,1,1,2018,22.36591,4511.93,3809.17,4.3,1,33503.383,46042.95,99,1.7274334,99,99,99,0.703956,SA_PV2025,0.703956,3,1,0,1,0.076,168.1226,0,0,Grid2025,0.076,1,436860,1,114.6864,1,0,1,5.3119264,5234.8574,722.9272,6358.4736,99,1.4725586,99,99,99,0.714874,SA_PV2030,0.714874,3,1,0,1,0.076,0,0,Grid2030,0.076,1,39219.35,1,54.25076,1,0,1,1.0081294
